Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/2/K1_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit12_K1;;ACSC2_a4_b_label061_bit12_K1;EIU/2;K1_in;;2;Connection Over Empty;X;;
EIU/2/K2_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K2_in;EIU/2;K2_in;;1;Connection Over Empty;;;
EIU/2/K2_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit13_K2;;ACSC2_a4_b_label061_bit13_K2;EIU/2;K2_in;;2;Connection Over Empty;X;;
EIU/2/K3_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K3_in;EIU/2;K3_in;;1;Connection Over Empty;;;
EIU/2/K3_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit14_K3;;ACSC2_a4_b_label061_bit14_K3;EIU/2;K3_in;;2;Connection Over Empty;X;;
EIU/2/K4_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K4_in;EIU/2;K4_in;;1;Connection Over Empty;;;
EIU/2/K4_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit15_K4;;ACSC2_a4_b_label061_bit15_K4;EIU/2;K4_in;;2;Connection Over Empty;X;;
EIU/2/K5_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K5_in;EIU/2;K5_in;;1;Connection Over Empty;;;
EIU/2/K5_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit16_K5;;ACSC2_a4_b_label061_bit16_K5;EIU/2;K5_in;;2;Connection Over Empty;X;;
EIU/2/K6_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K6_in;EIU/2;K6_in;;1;Connection Over Empty;;;
EIU/2/K6_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit17_K6;;ACSC2_a4_b_label061_bit17_K6;EIU/2;K6_in;;2;Connection Over Empty;X;;
EIU/2/LVR_TOGA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;LVR_TOGA_Act;EIU/2;LVR_TOGA_Act;;1;Priority;X;;
EIU/2/LVR_TOGA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGINSYS;EIU/2;LVR_TOGA_Act;;2;Priority;;;
EIU/2/MAN_Soft_GA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;MAN_Soft_GA_Act;EIU/2;MAN_Soft_GA_Act;;1;Priority;X;;
EIU/2/MAN_Soft_GA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGADIS;EIU/2;MAN_Soft_GA_Act;;2;Priority;;;
